fiscaldateending,reportedcurrency,totalassets,totalcurrentassets,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,inventory,currentnetreceivables,totalnoncurrentassets,propertyplantequipment,intangibleassets,intangibleassetsexcludinggoodwill,goodwill,longterminvestments,shortterminvestments,othercurrentassets,totalliabilities,totalcurrentliabilities,currentaccountspayable,shorttermdebt,totalnoncurrentliabilities,capitalleaseobligations,longtermdebt,currentlongtermdebt,shortlongtermdebttotal,othercurrentliabilities,othernoncurrentliabilities,totalshareholderequity,treasurystock,retainedearnings,commonstock,commonstocksharesoutstanding,date,symbol
2025-09-30,USD,536469000000,173947000000,23090000000,23090000000,618000000.0,57148000000,362522000000,25448000000.0,1823000000.0,1823000000.0,33269000000,63800000000.0,75406000000,18303000000,149602000000,99550000000,10546000000,2219000000.0,50052000000,12106000000.0,21607000000.0,3945000000.0,33713000000.0,73390000000,6267000000.0,386867000000,0.0,297226000000,30124500000.0,12203000000,2025-09-30,GOOGL
2025-06-30,USD,502053000000,166216000000,21036000000,21036000000,618000000.0,55048000000,335837000000,217486000000.0,1823000000.0,1823000000.0,32335000000,52574000000.0,74112000000,16020000000,139137000000,87310000000,8347000000,4107000000.0,51827000000,11952000000.0,23607000000.0,3945000000.0,41668000000.0,69101000000,6241000000.0,362916000000,0.0,275760000000,12104000000.0,12198000000,2025-06-30,GOOGL
2025-03-31,USD,475374000000,162052000000,23264000000,23264000000,618000000.0,51000000000,313322000000,198784000000.0,1823000000.0,1823000000.0,32173000000,51029000000.0,72064000000,15724000000,130107000000,91654000000,8497000000,1000000000.0,38453000000,11678000000.0,10886000000.0,1000000000.0,23564000000.0,67476000000,6116000000.0,345267000000,0.0,262628000000,86725000000.0,12291000000,2025-03-31,GOOGL
2024-12-31,USD,450256000000,163711000000,23466000000,23466000000,618000000.0,52340000000,286545000000,184624000000.0,1823000000.0,1823000000.0,31885000000,37982000000.0,72191000000,15714000000,125172000000,89122000000,7987000000,2887000000.0,36050000000,14578000000.0,10883000000.0,3945000000.0,25461000000.0,64430000000,4694000000.0,325084000000,0.0,245084000000,84800000000.0,12348000000,2024-12-31,GOOGL
2024-09-30,USD,430266000000,157541000000,19959000000,19959000000,618000000.0,49104000000,272725000000,174831000000.0,1823000000.0,1823000000.0,31935000000,36177000000.0,73271000000,15207000000,116147000000,80803000000,7049000000,2971000000.0,35344000000,16042000000.0,10880000000.0,3945000000.0,26922000000.0,63248000000,1453000000.0,314119000000,0.0,235317000000,82030000000.0,12419000000,2024-09-30,GOOGL
2024-06-30,USD,414770000000,161995000000,27225000000,27225000000,618000000.0,47087000000,252775000000,25448000000.0,1823000000.0,1823000000.0,29185000000,34172000000.0,73500000000,14183000000,114017000000,77913000000,6092000000,2855000000.0,36104000000,15925000000.0,11876000000.0,3945000000.0,27801000000.0,61418000000,1753000000.0,300753000000,0.0,226033000000,79732000000.0,12495000000,2024-06-30,GOOGL
2024-03-31,USD,407350000000,165471000000,24493000000,24493000000,618000000.0,44552000000,241879000000,25448000000.0,1823000000.0,1823000000.0,29183000000,33994000000.0,83597000000,12829000000,114506000000,76997000000,6198000000,2874000000.0,37509000000,16186000000.0,11873000000.0,3945000000.0,28059000000.0,59026000000,1683000000.0,292844000000,0.0,219770000000,77913000000.0,12527000000,2024-03-31,GOOGL
2023-12-31,USD,402392000000,171530000000,24048000000,24048000000,618000000.0,47964000000,230862000000,25448000000.0,1823000000.0,1823000000.0,29198000000,31008000000.0,86868000000,12650000000,119013000000,81814000000,7493000000,2791000000.0,37199000000,16634000000.0,11870000000.0,3945000000.0,27121000000.0,64645000000,1616000000.0,283379000000,0.0,211247000000,76534000000.0,12602000000,2023-12-31,GOOGL
2023-09-30,USD,396711000000,176310000000,30702000000,30702000000,2957000000.0,41020000000,220401000000,139904000000.0,1833000000.0,1833000000.0,29146000000,30907000000.0,89233000000,12398000000,123509000000,86295000000,5803000000,2715000000.0,37214000000,12550000000.0,13781000000.0,3945000000.0,29046000000.0,65436000000,1433000000.0,273202000000,0.0,205647000000,74591000000.0,12696000000,2023-09-30,GOOGL
2023-06-30,USD,383044000000,168788000000,25929000000,25929000000,2231000000.0,38804000000,214256000000,135677000000.0,1966000000.0,1966000000.0,29210000000,31224000000.0,92403000000,9421000000,115903000000,77709000000,5313000000,2663000000.0,38194000000,12746000000.0,13705000000.0,3945000000.0,26451000000.0,68550000000,1765000000.0,267141000000,0.0,200884000000,72248000000.0,12609000000,2023-06-30,GOOGL
