fact_finance_id,date_key,company_key,fin_type_key,metric_key,value
1,20250930,1,1,1,536469000000.0
2,20250630,1,1,1,502053000000.0
3,20250331,1,1,1,475374000000.0
4,20241231,1,1,1,450256000000.0
5,20240930,1,1,1,430266000000.0
6,20240630,1,1,1,414770000000.0
7,20240331,1,1,1,407350000000.0
8,20231231,1,1,1,402392000000.0
9,20230930,1,1,1,396711000000.0
10,20230630,1,1,1,383044000000.0
11,20230331,1,1,1,369491000000.0
12,20221231,1,1,1,365264000000.0
13,20220930,1,1,1,358255000000.0
14,20220630,1,1,1,355185000000.0
15,20220331,1,1,1,357096000000.0
16,20211231,1,1,1,359268000000.0
17,20210930,1,1,1,347403000000.0
18,20210630,1,1,1,335387000000.0
19,20210331,1,1,1,327095000000.0
20,20201231,1,1,1,319616000000.0
21,20200930,1,1,1,299243000000.0
22,20200630,1,1,1,278492000000.0
23,20200331,1,1,1,273403000000.0
24,20191231,1,1,1,275909000000.0
25,20190930,1,1,1,263044000000.0
26,20190630,1,1,1,257101000000.0
27,20190331,1,1,1,245349000000.0
28,20181231,1,1,1,232792000000.0
29,20180930,1,1,1,221538000000.0
30,20180630,1,1,1,211610000000.0
31,20180331,1,1,1,206935000000.0
32,20171231,1,1,1,197295000000.0
33,20170930,1,1,1,189536000000.0
34,20170630,1,1,1,178621000000.0
35,20170331,1,1,1,172756000000.0
36,20161231,1,1,1,167497000000.0
37,20160930,1,1,1,159948000000.0
38,20160630,1,1,1,154292000000.0
39,20160331,1,1,1,149747000000.0
40,20151231,1,1,1,147461000000.0
41,20150930,1,1,1,144281000000.0
42,20150630,1,1,1,138807000000.0
43,20150331,1,1,1,133400000000.0
44,20141231,1,1,1,131133000000.0
45,20140930,1,1,1,125781000000.0
46,20140630,1,1,1,121608000000.0
47,20140331,1,1,1,116526000000.0
48,20131231,1,1,1,110920000000.0
49,20130930,1,1,1,105068000000.0
50,20130630,1,1,1,101182000000.0
51,20130331,1,1,1,96692000000.0
52,20121231,1,1,1,93798000000.0
53,20120930,1,1,1,89730000000.0
54,20120630,1,1,1,86051000000.0
55,20120331,1,1,1,77144000000.0
56,20111231,1,1,1,72574000000.0
57,20110930,1,1,1,69088000000.0
58,20110630,1,1,1,64861000000.0
59,20110331,1,1,1,59960000000.0
60,20101231,1,1,1,57851000000.0
61,20100930,1,1,1,53342000000.0
62,20100630,1,1,1,48045000000.0
63,20100331,1,1,1,42871000000.0
64,20091231,1,1,1,40496778000.0
65,20090930,1,1,1,37702845000.0
66,20090630,1,1,1,35158760000.0
67,20090331,1,1,1,33513029000.0
68,20081231,1,1,1,31767575000.0
69,20080930,1,1,1,30806974000.0
70,20080630,1,1,1,29179786000.0
71,20080331,1,1,1,27604982000.0
72,20071231,1,1,1,25335806000.0
73,20070930,1,1,1,23340650000.0
74,20070630,1,1,1,21423885000.0
75,20070331,1,1,1,20015438000.0
76,20061231,1,1,1,18473351000.0
77,20060930,1,1,1,15693232000.0
78,20060630,1,1,1,14396006000.0
79,20060331,1,1,1,11294870000.0
80,20051231,1,1,1,10271813000.0
81,20050930,1,1,1,9451001000.0
82,20250930,1,1,2,173947000000.0
83,20250630,1,1,2,166216000000.0
84,20250331,1,1,2,162052000000.0
85,20241231,1,1,2,163711000000.0
86,20240930,1,1,2,157541000000.0
87,20240630,1,1,2,161995000000.0
88,20240331,1,1,2,165471000000.0
89,20231231,1,1,2,171530000000.0
90,20230930,1,1,2,176310000000.0
91,20230630,1,1,2,168788000000.0
92,20230331,1,1,2,161985000000.0
93,20221231,1,1,2,164795000000.0
94,20220930,1,1,2,166109000000.0
95,20220630,1,1,2,172371000000.0
96,20220331,1,1,2,177853000000.0
97,20211231,1,1,2,188143000000.0
98,20210930,1,1,2,184110000000.0
99,20210630,1,1,2,175697000000.0
100,20210331,1,1,2,172137000000.0
101,20201231,1,1,2,174296000000.0
102,20200930,1,1,2,164369000000.0
103,20200630,1,1,2,149069000000.0
104,20200331,1,1,2,147018000000.0
105,20191231,1,1,2,152578000000.0
106,20190930,1,1,2,148358000000.0
107,20190630,1,1,2,147437000000.0
108,20190331,1,1,2,138207000000.0
109,20181231,1,1,2,135676000000.0
110,20180930,1,1,2,129702000000.0
111,20180630,1,1,2,124157000000.0
112,20180331,1,1,2,123761000000.0
113,20171231,1,1,2,124308000000.0
114,20170930,1,1,2,119345000000.0
115,20170630,1,1,2,112386000000.0
116,20170331,1,1,2,108794000000.0
117,20161231,1,1,2,105408000000.0
118,20160930,1,1,2,98546000000.0
119,20160630,1,1,2,94238000000.0
120,20160331,1,1,2,90955000000.0
121,20151231,1,1,2,90114000000.0
122,20150930,1,1,2,88103000000.0
123,20150630,1,1,2,84164000000.0
124,20150331,1,1,2,80313000000.0
125,20141231,1,1,2,80685000000.0
126,20140930,1,1,2,80115000000.0
127,20140630,1,1,2,77905000000.0
128,20140331,1,1,2,75314000000.0
129,20131231,1,1,2,72886000000.0
130,20130930,1,1,2,68858000000.0
131,20130630,1,1,2,66861000000.0
132,20130331,1,1,2,62808000000.0
133,20121231,1,1,2,60454000000.0
134,20120930,1,1,2,56821000000.0
135,20120630,1,1,2,53857000000.0
136,20120331,1,1,2,56859000000.0
137,20111231,1,1,2,52758000000.0
138,20110930,1,1,2,50042000000.0
139,20110630,1,1,2,46442000000.0
140,20110331,1,1,2,43310000000.0
141,20101231,1,1,2,41562000000.0
142,20100930,1,1,2,39447000000.0
143,20100630,1,1,2,35161000000.0
144,20100331,1,1,2,31132000000.0
145,20091231,1,1,2,29166958000.0
146,20090930,1,1,2,26353544000.0
147,20090630,1,1,2,23834853000.0
148,20090331,1,1,2,22080802000.0
149,20081231,1,1,2,20178182000.0
150,20080930,1,1,2,17962851000.0
151,20080630,1,1,2,16316837000.0
152,20080331,1,1,2,15464931000.0
153,20071231,1,1,2,17289138000.0
154,20070930,1,1,2,15733761000.0
155,20070630,1,1,2,14857523000.0
156,20070331,1,1,2,14080774000.0
157,20061231,1,1,2,13039847000.0
158,20060930,1,1,2,11858243000.0
159,20060630,1,1,2,11058107000.0
160,20060331,1,1,2,9555957000.0
161,20051231,1,1,2,9001071000.0
162,20050930,1,1,2,8382685000.0
163,20250930,1,1,3,23090000000.0
164,20250630,1,1,3,21036000000.0
165,20250331,1,1,3,23264000000.0
166,20241231,1,1,3,23466000000.0
167,20240930,1,1,3,19959000000.0
168,20240630,1,1,3,27225000000.0
169,20240331,1,1,3,24493000000.0
170,20231231,1,1,3,24048000000.0
171,20230930,1,1,3,30702000000.0
172,20230630,1,1,3,25929000000.0
173,20230331,1,1,3,25924000000.0
174,20221231,1,1,3,21879000000.0
175,20220930,1,1,3,21984000000.0
176,20220630,1,1,3,17936000000.0
177,20220331,1,1,3,20886000000.0
178,20211231,1,1,3,20945000000.0
179,20210930,1,1,3,23719000000.0
180,20210630,1,1,3,23630000000.0
181,20210331,1,1,3,26622000000.0
182,20201231,1,1,3,26465000000.0
183,20200930,1,1,3,20129000000.0
184,20200630,1,1,3,17742000000.0
185,20200331,1,1,3,19644000000.0
186,20191231,1,1,3,18498000000.0
187,20190930,1,1,3,16032000000.0
188,20190630,1,1,3,16587000000.0
189,20190331,1,1,3,19148000000.0
190,20181231,1,1,3,16701000000.0
191,20180930,1,1,3,13443000000.0
192,20180630,1,1,3,14148000000.0
193,20180331,1,1,3,12658000000.0
194,20171231,1,1,3,10715000000.0
195,20170930,1,1,3,10581000000.0
196,20170630,1,1,3,15711000000.0
197,20170331,1,1,3,18132000000.0
198,20161231,1,1,3,12918000000.0
199,20160930,1,1,3,9406000000.0
200,20160630,1,1,3,13627000000.0
201,20160331,1,1,3,15111000000.0
202,20151231,1,1,3,16549000000.0
203,20150930,1,1,3,18068000000.0
204,20150630,1,1,3,18453000000.0
205,20150331,1,1,3,16976000000.0
206,20141231,1,1,3,18347000000.0
207,20140930,1,1,3,15605000000.0
208,20140630,1,1,3,19620000000.0
209,20140331,1,1,3,16639000000.0
210,20131231,1,1,3,18898000000.0
211,20130930,1,1,3,15242000000.0
212,20130630,1,1,3,16164000000.0
213,20130331,1,1,3,15375000000.0
214,20121231,1,1,3,14778000000.0
215,20120930,1,1,3,16260000000.0
216,20120630,1,1,3,15437000000.0
217,20120331,1,1,3,23108000000.0
218,20111231,1,1,3,9983000000.0
219,20110930,1,1,3,10630000000.0
220,20110630,1,1,3,10320000000.0
221,20110331,1,1,3,12415000000.0
222,20101231,1,1,3,13630000000.0
223,20100930,1,1,3,11257000000.0
224,20100630,1,1,3,10713000000.0
225,20100331,1,1,3,9192000000.0
226,20091231,1,1,3,10197588000.0
227,20090930,1,1,3,12087115000.0
228,20090630,1,1,3,11911351000.0
229,20090331,1,1,3,10426291000.0
230,20081231,1,1,3,8656672000.0
231,20080930,1,1,3,8370469000.0
232,20080630,1,1,3,7363536000.0
233,20080331,1,1,3,6519749000.0
234,20071231,1,1,3,6081593000.0
235,20070930,1,1,3,5106404000.0
236,20070630,1,1,3,4493652000.0
237,20070331,1,1,3,4081340000.0
238,20061231,1,1,3,3544671000.0
239,20060930,1,1,3,3038341000.0
240,20060630,1,1,3,4015922000.0
241,20060331,1,1,3,2935179000.0
242,20051231,1,1,3,3877174000.0
243,20050930,1,1,3,5518569000.0
244,20250930,1,1,4,23090000000.0
245,20250630,1,1,4,21036000000.0
246,20250331,1,1,4,23264000000.0
247,20241231,1,1,4,23466000000.0
248,20240930,1,1,4,19959000000.0
249,20240630,1,1,4,27225000000.0
250,20240331,1,1,4,24493000000.0
251,20231231,1,1,4,24048000000.0
252,20230930,1,1,4,30702000000.0
253,20230630,1,1,4,25929000000.0
254,20230331,1,1,4,25924000000.0
255,20221231,1,1,4,21879000000.0
256,20220930,1,1,4,21984000000.0
257,20220630,1,1,4,17936000000.0
258,20220331,1,1,4,20886000000.0
259,20211231,1,1,4,20945000000.0
260,20210930,1,1,4,23719000000.0
261,20210630,1,1,4,23630000000.0
262,20210331,1,1,4,26622000000.0
263,20201231,1,1,4,26465000000.0
264,20200930,1,1,4,20129000000.0
265,20200630,1,1,4,17742000000.0
266,20200331,1,1,4,19644000000.0
267,20191231,1,1,4,18498000000.0
268,20190930,1,1,4,16032000000.0
269,20190630,1,1,4,16587000000.0
270,20190331,1,1,4,19148000000.0
271,20181231,1,1,4,16701000000.0
272,20180930,1,1,4,13443000000.0
273,20180630,1,1,4,14148000000.0
274,20180331,1,1,4,12658000000.0
275,20171231,1,1,4,10715000000.0
276,20170930,1,1,4,10581000000.0
277,20170630,1,1,4,15711000000.0
278,20170331,1,1,4,18132000000.0
279,20161231,1,1,4,12918000000.0
280,20160930,1,1,4,9406000000.0
281,20160630,1,1,4,13627000000.0
282,20160331,1,1,4,15111000000.0
283,20151231,1,1,4,16549000000.0
284,20150930,1,1,4,18068000000.0
285,20150630,1,1,4,18453000000.0
286,20150331,1,1,4,16976000000.0
287,20141231,1,1,4,18347000000.0
288,20140930,1,1,4,15605000000.0
289,20140630,1,1,4,19620000000.0
290,20140331,1,1,4,16639000000.0
291,20131231,1,1,4,18898000000.0
292,20130930,1,1,4,15242000000.0
293,20130630,1,1,4,16164000000.0
294,20130331,1,1,4,15375000000.0
295,20121231,1,1,4,14778000000.0
296,20120930,1,1,4,16260000000.0
297,20120630,1,1,4,15437000000.0
298,20120331,1,1,4,23108000000.0
299,20111231,1,1,4,9983000000.0
300,20110930,1,1,4,10630000000.0
301,20110630,1,1,4,10320000000.0
302,20110331,1,1,4,12415000000.0
303,20101231,1,1,4,13630000000.0
304,20100930,1,1,4,11257000000.0
305,20100630,1,1,4,10713000000.0
306,20100331,1,1,4,9192000000.0
307,20091231,1,1,4,10197588000.0
