fact_stock_prices_id,date_key,company_key,stock_metric_key,value
1,20040819,1,1,100.01
2,20040820,1,1,101.01
3,20040823,1,1,110.76
4,20040824,1,1,111.24
5,20040825,1,1,104.76
6,20040826,1,1,104.95
7,20040827,1,1,108.1
8,20040830,1,1,105.28
9,20040831,1,1,102.32
10,20040901,1,1,102.7
11,20040902,1,1,99.09
12,20040903,1,1,100.95
13,20040907,1,1,101.01
14,20040908,1,1,100.74
15,20040909,1,1,102.5
16,20040910,1,1,101.47
17,20040913,1,1,106.63
18,20040914,1,1,107.44
19,20040915,1,1,110.56
20,20040916,1,1,112.34
21,20040917,1,1,114.42
22,20040920,1,1,116.95
23,20040921,1,1,120.2
24,20040922,1,1,117.45
25,20040923,1,1,118.84
26,20040924,1,1,120.97
27,20040927,1,1,119.56
28,20040928,1,1,121.15
29,20040929,1,1,126.53
30,20040930,1,1,129.899
31,20041001,1,1,130.8
32,20041004,1,1,135.275
33,20041005,1,1,134.66
34,20041006,1,1,137.67
35,20041007,1,1,136.56
36,20041008,1,1,138.73
37,20041011,1,1,137.01
38,20041012,1,1,134.49
39,20041013,1,1,143.24
40,20041014,1,1,141.02
41,20041015,1,1,144.95
42,20041018,1,1,143.12
43,20041019,1,1,150.5
44,20041020,1,1,147.94
45,20041021,1,1,144.13
46,20041022,1,1,170.435
47,20041025,1,1,176.28
48,20041026,1,1,186.449
49,20041027,1,1,182.509
50,20041028,1,1,186.63
51,20041029,1,1,198.87
52,20041101,1,1,193.5
53,20041102,1,1,198.73
54,20041103,1,1,198.19
55,20041104,1,1,188.25
56,20041105,1,1,182.0
57,20041108,1,1,170.86
58,20041109,1,1,174.1
59,20041110,1,1,170.67
60,20041111,1,1,169.32
61,20041112,1,1,185.23
62,20041115,1,1,180.45
63,20041116,1,1,174.39
64,20041117,1,1,169.02
65,20041118,1,1,170.4
66,20041119,1,1,169.06
67,20041122,1,1,168.6
68,20041123,1,1,167.915
69,20041124,1,1,174.84
70,20041126,1,1,175.8
71,20041129,1,1,180.255
72,20041130,1,1,180.7
73,20041201,1,1,181.77
