Date,Open,High,Low,Close,Volume,Symbol
2016-06-14,716.48,722.47,713.12,718.27,1306065,GOOG
2016-06-15,719.0,722.98,717.31,718.92,1214517,GOOG
2016-06-16,714.91,716.65,703.26,710.36,1982471,GOOG
2016-06-17,708.65,708.82,688.4515,691.72,3402357,GOOG
2016-06-20,698.77,702.48,693.41,693.71,2082538,GOOG
2016-06-21,698.4,702.77,692.01,695.94,1465634,GOOG
2016-06-22,699.06,700.86,693.0819,697.46,1184318,GOOG
2016-06-23,697.45,701.95,687.0,701.87,2171415,GOOG
2016-06-24,675.17,689.4,673.45,675.22,4449022,GOOG
2016-06-27,671.0,672.3,663.284,668.26,2641085,GOOG
2016-06-28,678.97,680.33,673.0,680.04,2173762,GOOG
2016-06-29,683.0,687.4292,681.41,684.11,1932561,GOOG
2016-06-30,685.47,692.32,683.65,692.1,1597714,GOOG
2016-07-01,692.2,700.65,692.1301,699.21,1344710,GOOG
2016-07-05,696.06,696.94,688.88,694.49,1462616,GOOG
2016-07-06,689.98,701.68,689.09,697.77,1411925,GOOG
2016-07-07,698.08,698.2,688.215,695.36,1304200,GOOG
2016-07-08,699.5,705.71,696.435,705.63,1575166,GOOG
2016-07-11,708.05,716.51,707.24,715.09,1111762,GOOG
2016-07-12,719.12,722.94,715.91,720.64,1336921,GOOG
2016-07-13,723.62,724.0,716.85,716.98,935876,GOOG
2016-07-14,721.58,722.21,718.03,720.95,950193,GOOG
2016-07-15,725.73,725.74,719.055,719.85,1279339,GOOG
2016-07-18,722.71,736.13,721.19,733.78,1295476,GOOG
2016-07-19,729.89,736.99,729.0,736.96,1227486,GOOG
2016-07-20,737.33,742.13,737.1,741.19,1289671,GOOG
2016-07-21,740.36,741.69,735.831,738.63,1026306,GOOG
2016-07-22,741.86,743.24,736.56,742.74,1259823,GOOG
2016-07-25,740.67,742.61,737.5,739.77,1032432,GOOG
2016-07-26,739.04,741.69,734.27,738.42,1186738,GOOG
2016-07-27,738.28,744.46,737.0,741.77,1512517,GOOG
2016-07-28,747.04,748.65,739.3,745.91,3530169,GOOG
2016-07-29,772.71,778.55,766.77,768.79,3841482,GOOG
2016-08-01,761.09,780.43,761.09,772.88,2700470,GOOG
2016-08-02,768.69,775.84,767.85,771.07,1784525,GOOG
2016-08-03,767.18,773.21,766.82,773.18,1287421,GOOG
2016-08-04,772.22,774.07,768.795,771.61,1140254,GOOG
2016-08-05,773.78,783.04,772.34,782.22,1801205,GOOG
2016-08-08,782.0,782.63,778.091,781.76,1107857,GOOG
2016-08-09,781.1,788.94,780.57,784.26,1318894,GOOG
2016-08-10,783.75,786.8123,782.778,784.68,786363,GOOG
2016-08-11,785.0,789.75,782.97,784.85,975113,GOOG
2016-08-12,781.5,783.395,780.4,783.22,740498,GOOG
2016-08-15,783.75,787.49,780.11,782.44,938186,GOOG
2016-08-16,780.3,780.98,773.444,777.14,1028047,GOOG
2016-08-17,777.32,780.81,773.53,779.91,924226,GOOG
2016-08-18,780.01,782.86,777.0,777.5,719429,GOOG
2016-08-19,775.0,777.1,773.13,775.42,861546,GOOG
2016-08-22,773.27,774.54,770.0502,772.15,951362,GOOG
2016-08-23,775.48,776.44,771.785,772.08,928232,GOOG
2016-08-24,770.58,774.5,767.07,769.64,1071999,GOOG
2016-08-25,767.0,771.89,763.1846,769.41,926883,GOOG
2016-08-26,769.0,776.0799,765.85,769.54,1166681,GOOG
2016-08-29,768.74,774.99,766.615,772.15,847565,GOOG
2016-08-30,769.33,774.466,766.84,769.09,1130029,GOOG
2016-08-31,767.01,769.09,765.38,767.05,1248556,GOOG
2016-09-01,769.25,771.02,764.3,768.78,925131,GOOG
2016-09-02,773.01,773.9199,768.41,771.46,1072658,GOOG
